codigo_modelo,nome_amigavel
H-D/F LHXSE,CVO Street Glide
H-D/F LTRXSE,CVO Road Glide
H-D/FL HX,Street Glide
H-D/FL TRX,Road Glide
H-D/FLFB,Fat Boy
H-D/FLFBS ANV,
H-D/FLHC,Heritage Classic
H-D/FLHCS ANV,
H-D/FLHTK ANV,
H-D/FLHXL,Street Glide Limited
H-D/FLHXLSE,CVO Street Glide Limited
H-D/FLHXS ANV,
H-D/FLHXU,Street Glide Ultra
H-D/FLSTFI,Fat Boy Gray Ghost
H-D/FLTRKSE ANV,
H-D/FLTRXL,Road Glide Limited
H-D/FLTRXS ANV,
H-D/FLTRXSTSE,CVO Road Glide ST
H-D/FXBB,Street Bob
H-D/FXBR,Breakout
H-D/FXLRS,Low Rider S
H-D/FXLRST,Low Rider ST
H-D/RA1250S,Pan America 1250 Special
H-D/RH1250S,Sportster S
H-D/RH975S,Nightster Special
H.DAVIDSON/FL FBS,Fat Boy S
H.DAVIDSON/FL FBS ANX,
H.DAVIDSON/FL HTKSE ANV,
H.DAVIDSON/FLH XS ANX,
H.DAVIDSON/FLHTK ANV,
H.DAVIDSON/FLSTC ANV,
H.DAVIDSON/FLSTFB ANV,
H.DAVIDSON/FLT RU,Road Glide Ultra
H.DAVIDSON/FLT RXS,Road Glide Special
H.DAVIDSON/FX BRS,Breakout
H.DAVIDSON/FX BRS ANX,
H.DAVIDSON/FXDC ANV,
H.DAVIDSON/XL 1200CA,
H.DAVIDSON/XL 1200CB,
H.DAVIDSON/XL1200NS,Forty-Eight Special
H.DAVIDSON/XL1200X ANX,
HARLEY DAVIDSON FLHT TRI,Tri Glide Ultra
HARLEY DAVIDSON/FL SL,Slim
HARLEY DAVIDSON/FL TRXSE,CVO Road Glide
HARLEY DAVIDSON/FLD,Switchback
HARLEY DAVIDSON/FLH RXS,Road King Special
HARLEY DAVIDSON/FLHP,Police Road King
HARLEY DAVIDSON/FLHR,Road King
HARLEY DAVIDSON/FLHRC,Road King Classic
HARLEY DAVIDSON/FLHRCI,
HARLEY DAVIDSON/FLHRS,
HARLEY DAVIDSON/FLHRSI,
HARLEY DAVIDSON/FLHT,
HARLEY DAVIDSON/FLHTC,Electra Glide Classic
HARLEY DAVIDSON/FLHTCU,Electra Glide Ultra Classic
HARLEY DAVIDSON/FLHTCUI,
HARLEY DAVIDSON/FLHTK,Ultra Limited
HARLEY DAVIDSON/FLHTKSE,CVO Limited
HARLEY DAVIDSON/FLHX,Street Glide
HARLEY DAVIDSON/FLHX S,Street Glide Special
HARLEY DAVIDSON/FLHXSE,CVO Street Glide
HARLEY DAVIDSON/FLST,Heritage Softail
HARLEY DAVIDSON/FLSTC,Heritage Softail Classic
HARLEY DAVIDSON/FLSTC JM,
HARLEY DAVIDSON/FLSTC Y,
HARLEY DAVIDSON/FLSTCI,
HARLEY DAVIDSON/FLSTF,Fat Boy
HARLEY DAVIDSON/FLSTF Y,
HARLEY DAVIDSON/FLSTFB,Fat Boy Lo
HARLEY DAVIDSON/FLSTFI,Fat Boy Gray Ghost
HARLEY DAVIDSON/FLSTI,
HARLEY DAVIDSON/FLSTN,Softail Deluxe
HARLEY DAVIDSON/FLSTNI,
HARLEY DAVIDSON/FX BB,Street Bob
HARLEY DAVIDSON/FX FBS,Fat Bob
HARLEY DAVIDSON/FXCW,Softail Rocker
HARLEY DAVIDSON/FXCWC,Softail Rocker C
HARLEY DAVIDSON/FXD,Dyna Super Glide
HARLEY DAVIDSON/FXDB,Street Bob
HARLEY DAVIDSON/FXDC,Super Glide Custom
HARLEY DAVIDSON/FXDF,Fat Bob
HARLEY DAVIDSON/FXDL,Low Rider
HARLEY DAVIDSON/FXS,Blackline
HARLEY DAVIDSON/FXSB,Breakout
HARLEY DAVIDSON/FXST,Softail Standard
HARLEY DAVIDSON/FXST Y,
HARLEY DAVIDSON/FXSTB,
HARLEY DAVIDSON/FXSTB Y,
HARLEY DAVIDSON/FXSTBI,
HARLEY DAVIDSON/FXSTD Y,
HARLEY DAVIDSON/FXSTDI,
HARLEY DAVIDSON/FXSTI,
HARLEY DAVIDSON/VRSCAW,
HARLEY DAVIDSON/VRSCDX,Night Rod Special
HARLEY DAVIDSON/VRSCDX A,
HARLEY DAVIDSON/VRSCF,V-Rod Muscle
HARLEY DAVIDSON/XL 1200C,Sportster 1200 Custom
HARLEY DAVIDSON/XL 1200N,
HARLEY DAVIDSON/XL 883,Sportster 883
HARLEY DAVIDSON/XL 883 C,
HARLEY DAVIDSON/XL1200C,Sportster 1200 Custom
HARLEY DAVIDSON/XL1200CA,Custom Limited A
HARLEY DAVIDSON/XL1200CB,Seventy-Two
HARLEY DAVIDSON/XL1200CX,Roadster
HARLEY DAVIDSON/XL1200X,Forty-Eight
HARLEY DAVIDSON/XL883 R,Sportster 883 Roadster
HARLEY DAVIDSON/XL883N,Iron 883
HARLEY DAVIDSON/XL883R,
HARLEY DAVIDSON/XR 1200,
HARLEY DAVIDSON/XR 1200X,XR1200X
HARLEY-DAVIDSON FL HC,Heritage Classic
HARLEY-DAVIDSON/FL DE,Deluxe
HARLEY-DAVIDSON/FL FB,Fat Boy
HARLEY-DAVIDSON/FL SB,Slim
HARLEY-DAVIDSON/FL TRK,Road Glide Limited
HARLEY-DAVIDSON/FLHCS,Heritage Classic 114
HARLEY-DAVIDSON/FLTRKSE,CVO Road Glide Limited
HARLEY-DAVIDSON/FX DRS,Low Rider ST
HARLEY-DAVIDSON/FX FB,Fat Bob
HARLEY-DAVIDSON/FXLRS,Low Rider S
HARLEY-DAVIDSON/RA1250 S,Pan America 1250 Special
I/H DAVIDSON HD DYNA,
I/H.DAVIDSON 165 ST,
I/H.DAVIDSON FL SPT SOLO,
I/H.DAVIDSON FLD,Switchback
I/H.DAVIDSON FLH TOURING,
I/H.DAVIDSON FLH1200 E G,
I/H.DAVIDSON FLH80 GLID,
I/H.DAVIDSON FLHP,Police Road King
I/H.DAVIDSON FLHPI,
I/H.DAVIDSON FLHRCI Z,
I/H.DAVIDSON FLHRSE3,
I/H.DAVIDSON FLHRSE4,
I/H.DAVIDSON FLHT POLICE,
I/H.DAVIDSON FLHTCSE,
I/H.DAVIDSON FLHTCUI,
I/H.DAVIDSON FLHTCUSE,
I/H.DAVIDSON FLHTCUSE3,
I/H.DAVIDSON FLHTCUSE5,
I/H.DAVIDSON FLHTCUSE7,
I/H.DAVIDSON FLHTCUTG,Tri Glide Ultra
I/H.DAVIDSON FLHTK,Ultra Limited
I/H.DAVIDSON FLHTKSE,
I/H.DAVIDSON FLHX,Street Glide
I/H.DAVIDSON FLHXSE,CVO Street Glide
I/H.DAVIDSON FLSTC,Heritage Softail Classic
I/H.DAVIDSON FLSTC HSC,
I/H.DAVIDSON FLSTF,Fat Boy
I/H.DAVIDSON FLSTFB,Fat Boy Lo
I/H.DAVIDSON FLSTFSE,
I/H.DAVIDSON FLSTN,Softail Deluxe
I/H.DAVIDSON FLSTSE,
I/H.DAVIDSON FLTCU,
I/H.DAVIDSON FXCWC,
I/H.DAVIDSON FXCWC ROCKE,
I/H.DAVIDSON FXD,Dyna Super Glide
I/H.DAVIDSON FXD WG Z,
I/H.DAVIDSON FXD XZ,
I/H.DAVIDSON FXD Z,
I/H.DAVIDSON FXDB DGLIDE,Street Bob
I/H.DAVIDSON FXDC,Super Glide Custom
I/H.DAVIDSON FXDF,Fat Bob
I/H.DAVIDSON FXDWG,Dyna Wide Glide
I/H.DAVIDSON FXE,
I/H.DAVIDSON FXRS,
I/H.DAVIDSON FXS,
I/H.DAVIDSON FXSBSE,
I/H.DAVIDSON FXST,
I/H.DAVIDSON FXSTB,
I/H.DAVIDSON FXSTC,
I/H.DAVIDSON FXSTS SS,Springer Softail
I/H.DAVIDSON FXSTSB BB,
I/H.DAVIDSON FXSTSSE2,
I/H.DAVIDSON IRON 883,Iron 883
I/H.DAVIDSON IRON1000,
I/H.DAVIDSON LOW RD SPOR,
I/H.DAVIDSON MRE CGPI,
I/H.DAVIDSON RKING CLASS,
I/H.DAVIDSON RKING POLIC,
I/H.DAVIDSON SOFTAIL,
I/H.DAVIDSON SPORTSTER,
I/H.DAVIDSON SPORTSTERFE,
I/H.DAVIDSON SPRING SOFT,
I/H.DAVIDSON TOPPER SCOOT,
I/H.DAVIDSON TRIGLIDE UC,Tri Glide Ultra
I/H.DAVIDSON ULH BIGTWIN,
I/H.DAVIDSON VRSC V-ROD,
I/H.DAVIDSON VRSCA,
I/H.DAVIDSON VRSCAW,V-Rod
I/H.DAVIDSON VRSCAWA,
I/H.DAVIDSON VRSCB,
I/H.DAVIDSON VRSCD,
I/H.DAVIDSON VRSCDX,Night Rod Special
I/H.DAVIDSON VRSCDX ANV,
I/H.DAVIDSON VRSCDXA,
I/H.DAVIDSON VRSCF,V-Rod Muscle
I/H.DAVIDSON VRSCR,
I/H.DAVIDSON VRSCSE,
I/H.DAVIDSON VRSCX,
I/H.DAVIDSON VTP,
I/H.DAVIDSON X90,
I/H.DAVIDSON XG750,Street 750
I/H.DAVIDSON XL 1200 C,
I/H.DAVIDSON XL 1200C,
I/H.DAVIDSON XL 883,
I/H.DAVIDSON XL 883 C,Sportster 883 Custom
I/H.DAVIDSON XL 883L,
I/H.DAVIDSON XL 883R,Sportster 883 Roadster
I/H.DAVIDSON XL1200 X,
I/H.DAVIDSON XL1200N,
I/H.DAVIDSON XL883C,
I/H.DAVIDSON XL883L,
I/H.DAVIDSON XL883N,Iron 883
I/H.DAVIDSON XLH 1000,
I/H.DAVIDSON XLH 883,
I/H.DAVIDSON XLH 883 C,
I/H.DAVIDSON XR 1200X,
I/HARLEY DAVIDSON,
I/HARLEY DAVIDSON EL,
I/HARLEY DAVIDSON FLATH,
I/HARLEY DAVIDSON FLHTP,
I/HARLEY DAVIDSON FLSTF,Fat Boy
I/HARLEY DAVIDSON FXRT,
I/HARLEY DAVIDSON FXSTS,Springer Softail
I/HARLEY DAVIDSON JD,
I/HARLEY DAVIDSON KUHEAD,
I/HARLEY DAVIDSON PAHEAD,
I/HARLEY DAVIDSON POLICE,
I/HARLEY DAVIDSON RA1250,Pan America 1250
I/HARLEY DAVIDSON RH1250,Sportster S
I/HARLEY DAVIDSON SCAR,
I/HARLEY DAVIDSON SHHEAD,
I/HARLEY DAVIDSON SS175,
I/HARLEY DAVIDSON TG ULT,Tri Glide Ultra
I/HARLEY DAVIDSON WL 750,
I/HARLEY DAVIDSON WLA,
I/HARLEY DAVIDSON X90,
I/HARLEY DAVIDSON XL1000,
I/HARLEY DAVIDSON XL1200,
I/HARLEY-DAVIDSON FXSB,Breakout
I/HARLEY-DAVIDSON FXSTS,Springer Softail
IMP/H DAVIDSON FLSTS HS,
IMP/H.DAVIDSON,
IMP/H.DAVIDSON FLHR EGRK,
IMP/H.DAVIDSON FLHRCI,
IMP/H.DAVIDSON FLHT EG,
IMP/H.DAVIDSON FLHTCU UG,
IMP/H.DAVIDSON FLSTF FB,Fat Boy Lo
IMP/H.DAVIDSON FLSTN HSS,
IMP/H.DAVIDSON FXD DSG,
IMP/H.DAVIDSON FXDL DR,
IMP/H.DAVIDSON FXDS DRC,
IMP/H.DAVIDSON FXDWG DWG,
IMP/H.DAVIDSON FXSTC SC,
IMP/H.DAVIDSON FXSTS SS,
IMP/H.DAVIDSON FXSTSB BB,
IMP/H.DAVIDSON XL 1200 S,
IMP/H.DAVIDSON XLH 1200,
IMP/H.DAVIDSON XLH 1200S,
IMP/H.DAVIDSON XLH S883,
IMP/H.DAVIDSON XLH S883H,
